id,pc_CR_PA_im_shal,pc_MP_PA_im_shal,pc_CR_PA_im_deep,pc_MP_PA_im_deep,pc_CR_PA_del_shal,pc_MP_PA_del_shal,pc_CR_PA_del_deep,pc_MP_PA_del_deep,pc_CR_REST_im_shal,pc_MP_REST_im_shal,pc_CR_REST_im_deep,pc_MP_REST_im_deep,pc_CR_REST_del_shal,pc_MP_REST_del_shal,pc_CR_REST_del_deep,pc_MP_REST_del_deep,rt_CR_PA_im_shal,rt_MP_PA_im_shal,rt_CR_PA_im_deep,rt_MP_PA_im_deep,rt_CR_PA_del_shal,rt_MP_PA_del_shal,rt_CR_PA_del_deep,rt_MP_PA_del_deep,rt_CR_REST_im_shal,rt_MP_REST_im_shal,rt_CR_REST_im_deep,rt_MP_REST_im_deep,rt_CR_REST_del_shal,rt_MP_REST_del_shal,rt_CR_REST_del_deep,rt_MP_REST_del_deep,HR_Rest_baseline,HR_Rest_activity,HR_Rest_cooldown,HR_Rest_encoding,HR_Rest_retrival,HR_PA_baseline,HR_PA_activity,HR_PA_cooldown,HR_PA_encoding,HR_PA_retrival
118,0.125,1,0.375,1,0,0.875,0.125,1,0,1,0.25,1,0,0.75,0,0.75,6451.50662498734,3038.35074998664,6649.62362499175,3718.10612498738,8903.94649999329,4703.95262499105,10872.7184999955,5665.3224999933,7173.80524999922,2957.55637499255,7884.95474999852,4861.43849999696,9921.35487501192,4218.86975001191,6472.58637500896,4422.03987501416,84.7541528239203,81.3174250832408,83.1794019933555,78.9893404397069,78.90036900369,92.8106312292359,156.450610432852,131.046511627907,83.6125708397733,NaN
119,0.125,1,0.5,1,0,1,0.125,1,0.125,1,0.25,1,0,1,0,1,16404.4612500005,7000.59550000047,20301.3456250005,6154.66312500078,14050.4188751669,7720.00137525025,23770.7160001429,7663.31162511918,20646.9742498212,7536.35162501191,13552.5464998929,7475.54462485694,16776.8082501906,6796.77162519067,15429.1208752144,8050.80625017871,NaN,78.1409544950055,78.3255813953488,77.0054029716344,71.4893111638955,79.2159468438538,154.482796892342,108.222591362126,82.679169249845,74.0886426592798
120,0,1,0.125,0.75,0,0.875,0,0.875,0,0.625,0.25,0.625,0,0.625,0,0.75,10860.6178750327,6056.41462504759,17763.0941250626,6890.58425005676,13253.7794999344,9568.70474994626,8478.55287495233,12989.7573749463,9204.33387494618,6150.669874976,12514.4476249523,6089.82637494616,7358.72712483314,7714.2494999583,35602.7407499166,9115.13162488676,73.6777408637874,71.3118756936737,70.1694352159468,67.6633134234517,57.9430604982206,80.1229235880399,163.638179800222,111.059800664452,83.8080405650127,76.3821656050955
121,0,1,0,0.875,0,1,0,0.875,0,1,0.25,1,0,0.875,0,0.75,5748.171500001,3370.60137500068,7646.49937500096,5030.2988750006,5326.1475,6496.5525,7078.2975,6580.695,12381.335,4241.99499999991,11571.9125,5607.9475,12068.9775,5565.03,11341.75,5359.8,71.265780730897,69.1032186459489,71.375415282392,68.5294366793731,65.5166051660517,84.4617940199335,134.219755826859,101.674418604651,90.2351261304141,85.9528795811518
123,0.25,0.875,0.5,1,0.125,0.875,0.25,1,0.25,1,0.5,0.875,0.125,1,0,1,6932.11637501045,3423.39212502684,7803.59675001941,3120.31237500151,11637.415500009,6419.03150000004,11388.2254999911,5519.63187499406,10982.3131249963,4289.28524999702,8571.84087500074,4267.8866250014,11731.3363750007,5425.46999999924,12329.662750003,6174.0991250015,105.720930232558,91.9322974472808,99.1461794019934,87.735600277585,94.140221402214,106.186046511628,179.200887902331,78.6312292358804,111.278837420527,104.424083769634
124,0,0.875,0,0.75,0,0.75,0,0.875,0,0.75,0,0.75,0,0.625,0,0.5,6939.5140000005,5058.16612500019,6922.9612500002,5709.16512500053,5178.125,4522.75,5350.75,7792.875,5575.02112500212,4344.91000000077,6790.81450000164,3828.6985000017,3741.75,4630,3811,5271.875,70.2890365448505,65.8867924528302,69.2392026578073,60.6596625278574,57.6408839779006,81.2624584717608,137.263041065483,79.6212624584718,55.1290887850467,61.1649484536082
125,0,0.875,0.125,1,0,0.625,0,0.375,0,0.625,0,1,0,1,0,0.75,6181.57250000004,4613.68500000005,5566.72999999997,4556.33500000009,4825,4579.625,5837,3782.875,7905.66750000001,5104.76499999997,6577.66999999999,4669.27250000008,8347.75,7627,7598,6843.375,58.358803986711,52.1897891231964,58.906976744186,54.9932241671372,55.1893687707641,87.7707641196013,145,99.109634551495,88.4291027429103,79.1104972375691
126,0,0.75,0.375,1,0,0.875,0,1,0,0.75,0.125,1,0,0.625,0,0.375,4495.57737496124,4236.93112495825,4756.82387496428,4188.05574995524,3281.07825,3726.415,4027.037625,4098.928625,3211.03437505661,3273.53687506559,3262.89075005964,3754.90600004465,4825,4579.625,5837,3782.875,98.2956810631229,98.7769145394007,101.166112956811,100.465948064674,102.413223140496,94.9601328903654,159.681465038846,125.252491694352,108.458615304529,109.950413223141
127,0,1,0.25,1,0,0.875,0,1,0,1,0,0.875,0,1,0.125,0.75,14460.5932499999,2775.54674999985,9747.57099999993,3902.56187500002,6978.44337500029,6122.49075000018,12733.1238750003,4291.91700000028,10542.8796250446,4684.89637505668,9260.20525005378,7029.79050003579,12386.9801250654,5148.44075004171,6517.42625005079,5765.70987504774,83.3089700996678,81.4284128745838,83.063122923588,84.3592934564432,81.1476014760148,92.2779456193353,140.830188679245,108.255813953488,97.9778357235984,90.7822878228782
128,0,0.75,0.375,1,0,0.75,0.25,0.875,0,1,0.125,0.5,0,0.625,0,0.875,23555.6549999644,6403.82849992845,17620.5182499761,7005.53324993441,16809.9071251312,6264.14712510131,16552.8398750715,8918.3285000716,7701.58450000016,5760.98549999995,11177.1547499999,8815.63124999994,15211.8175,7941.24,15559.805,8681.315,62.1395348837209,63.2330743618202,63.3654485049834,64.1021576398063,60.0797101449275,73.0664451827243,131.610432852386,78.6644518272425,64.3586265366681,56.3215077605321
129,0.25,1,0.5,0.75,0,0.875,0,0.5,0,0.875,0.25,1,0,0.75,0.125,0.875,7012.51612500012,6467.46112500052,11126.6096249998,5609.47949999971,10579.6916250038,9521.16075000261,20706.3713750026,9107.11387500297,17007.7813749998,5181.68724999996,10290.5117499998,5488.06149999984,9669.315375,6594.49025,11419.66275,6531.808875,82.4784053156146,78.4384017758047,79.3621262458472,77.4710782045349,76.258064516129,74.3421926910299,122.083240843507,96.4352159468439,75.3293918918919,71.3394833948339
